問,語群,解答,解説,点数
11,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,死亡表のうち、国民あるいは特定地域の人口を対象にしているのが「国民生命表」で、保険事業体が被保険者集団の実際の死亡統計に基づいて作成したのが「経験生命表」である。国民生命表と経験生命表はしばしば国民表と経験表と略されることが多い。,1
12,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,"国民表はさらに「完全生命表」と「簡易生命表」に分類される。
完全生命表は5年ごとの国勢調査によって人口が、その時期の人口動態統計によって死亡数が男女別、年齢別に計算され作成された国民表である。一方、毎年の人口動態統計の死亡数と推計人口を用いて簡略化されているのが簡易生命表である。",1
13,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,経験表は、経過年数によって「総合表」と「選択表」に分けられる。総合表は、加入後の経過年数を考慮せずに全期間を対象にしており、年齢別にまとめている。しかし保険に加入するのはより健康体の人なので、実際の国民表よりも死亡率は低くなる。,1
14,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,保険に加入するのは健康体の人なので総合表は国民表よりも死亡率は低く出る。それは生命保険会社が加入できる人を選択しているために起こる現象であり、選択効果と呼んでいる。しかし年数が経過するにつれて選択効果は次第になくなるため、死亡率は上昇していく。,1
15,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,年数が経過するにつれて死亡率は上昇していく。選択表とは、その変化を追跡できるように年齢別、経過年数別に死亡率を表示したものである。,1
16,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,間,1
17,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,間,1
18,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ケ,間,1
19,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ク,間,1
20,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,イ,間,1
21,ア、イ、ウ,ウ,"問題8でも説明したように、死亡保険金は期央に支払われると仮定している。そのため考える死亡保険金は、平均生存時間が0.5年、1.5年、2.5年、3.5年、4.5年のみで十分である。それぞれが1年目（40歳）、2年目（41歳）、3年目（42歳）、4年目（43歳）、5年目（44歳）に対応する。死亡保険金総額の現価を求めるには、まず死亡保険金700万円に各年齢での死亡数を掛ける。ただしこれらをそのまま和を取ってはいけない。何年目まで生きたかによって現価率は異なる。例えば40歳で亡くなった人の場合はこの乗算にさらに1年目の期央払現価率0.995037だけ掛ければよい。他の年齢でも同様にすると、死亡保険金総額の現価は以下のように計算できる。

$7,000,000 \times (87 \times 0.995037 + 92 \times 0.985185  + 98 \times 0.975431 + 102 \times 0.965773 + 110 \times 0.956211) = 3335427 \times 1000$

つまり3,335,427千円が正解である。",4
22,ア、イ、ウ,ア,"満期保険金は、5年後の年始に支払われる。つまり6年目（45歳）で生存していた人のみが満期保険金を受け取ることができる。満期保険金総額は
$7,000,000 \times 98,279 = 687,953,000,000$
円である。現価は6年目の期始払現価率0.951466をさらに乗算すればよい。
$687,953,000,000 \times 0.951466 = 654,563,889 \times 1000$
つまり654,563,889千円が正解である。",4
23,ア、イ、ウ,ウ,"死亡、生存関係なく保険金は700万円で、40歳の生存数は98,768人である。そのため保険金総額は
$7,000,000 \times 98768 = 691,376,000 \times 1000$
円である。ここで今回予定事業費率は保険金比例の予定新契約費のみ考慮しており、これは保険金1000円につき25円だけ付与される。つまり今計算したものに
$\frac{25}{1000}$
だけ乗算すればよい。
$7,000,000 \times 98768 \times \frac{25}{1000} = 17,284,400 \times 1,000$
円である。したがって17,284,400千円が正解である。",4
24,ア、イ、ウ,イ,"今回の場合、養老保険の保険金は死亡保険金、満期保険金、予定事業費の3つで構成されている。これらは問題21から23までの間で解いてきた数値である。保険金総額は
$3,335,426,731 + 654,563,889,098 + 17,284,400,000 = 675,183,715,829$
一方、収支相当の原理により、保険金総額に対応する保険料を計算することができる。これが年払営業保険料である。年払営業保険料自体は年によって変わることはない。しかし現価率を考えると、実際に加入者が支払う金額は毎年少なくなっていく。年払営業保険料を P 円とする。
加入1年目に支払う保険料総額は
$P \times 98768$
円である。
加入2年目では98681人が生存しており、現価率を考慮すれば2年目の保険料総額は
$P \times 98681 \times 0.990099 = 97704$
円である。このように生存数と現価率の積を考えてやることで保険料の全体の総額が計算できる。
$P \times (98768 \times 1 + 98681 \times 0.990099 + 98590 \times 0.980296 + 98492 \times 0.970590 + 98390 \times 0.960980) = 483265P$
これと最初に計算した保険金総額が等しいというのが収支相当の原則である。したがって以下の一次方程式を P について解けば年払営業保険料は求められる。
$483,265P = 675,183,715,829$
$P = 1,397,129$
10円以下は四捨五入するので、1,397,130円が正解である。",4
25,ア、イ、ウ,ウ,間,4
26,ア、イ、ウ,ア,間,4
27,ア、イ、ウ,イ,間,4
28,ア、イ、ウ,ウ,間,4
29,ア、イ、ウ,イ,間,4
30,ア、イ、ウ,ウ,間,4
31,正、誤,正,間,1
32,正、誤,正,間,1
33,正、誤,誤,間,1
34,正、誤,正,間,1
35,正、誤,誤,間,1
36,正、誤,正,間,1
37,正、誤,正,間,1
38,正、誤,正,間,1
39,正、誤,誤,間,1
40,正、誤,誤,間,1
41,ア、イ 、ウ、エ、オ,オ,間,3
42,ア、イ 、ウ、エ、オ,イ,間,3
43,ア、イ 、ウ、エ、オ,エ,間,3
44,ア、イ 、ウ、エ、オ,ウ,間,3
45,ア、イ 、ウ、エ、オ,イ,間,3
46,ア、イ 、ウ、エ、オ,ア,間,3
47,ア、イ 、ウ、エ、オ,オ,間,3
48,ア、イ 、ウ、エ、オ,エ,間,3
49,ア、イ 、ウ、エ、オ,ア,間,3
50,ア、イ 、ウ、エ、オ,ア,間,3
